Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW    113.4328
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW    114.3362
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW    112.4155
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW    160.3849
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW    110.9618
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW    109.208
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW    110.8214
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW    111.9856
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth    317.4582
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth    476.5457
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth    327.3761
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option    1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW    1038.5676
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option    2348.3565
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW    1034.4101
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW    1038.1275
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option    1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW    1038.5588
Axis Banking & PSU Debt Fund - Regular Plan - Growth option    2289.5227
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW    1034.2622
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW    1038.0924
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW    12.2334
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW    10.4721
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW    10.4583
BANDHAN Banking & PSU Debt Fund - Direct Growth    21.9109
